ep_date,dt,role,name
Wednesday January 10,2018-01-09T13:00:00Z,interviewee,NA
Tuesday January 9,2018-01-08T13:00:00Z,interviewee,NA
Monday January 8,2018-01-07T13:00:00Z,interviewee,NA
Friday January 5,2018-01-04T13:00:00Z,interviewee,Tracey Bevan
Thursday January 4,2018-01-03T13:00:00Z,interviewee,NA
Wednesday January 3,2018-01-02T13:00:00Z,interviewee,Steve Plain
Tuesday January 2,2018-01-01T13:00:00Z,interviewee,Nyadol Nyuon
Monday January 1,2017-12-31T13:00:00Z,interviewee,NA
Friday December 22,2018-12-21T13:00:00Z,interviewee,NA
Thursday December 21,2018-12-20T13:00:00Z,interviewee,NA
Wednesday December 20,2018-12-19T13:00:00Z,interviewee,NA
Tuesday December 19,2018-12-18T13:00:00Z,interviewee,NA
Monday December 18,2018-12-17T13:00:00Z,interviewee,NA
Friday December 15,2018-12-14T13:00:00Z,interviewee,NA
Thursday December 14,2018-12-13T13:00:00Z,interviewee,Bernard Barrett
Wednesday December 13,2018-12-12T13:00:00Z,interviewee,Chas Licciardello
Tuesday December 12,2018-12-11T13:00:00Z,interviewee,NA
Monday December 11,2018-12-10T13:00:00Z,interviewee,Dr Liz Allen
Friday December 8,2018-12-07T13:00:00Z,interviewee,NA
Thursday December 7,2018-12-06T13:00:00Z,interviewee,NA
Wednesday December 10,2018-12-09T13:00:00Z,interviewee,NA
Tuesday December 5,2018-12-04T13:00:00Z,interviewee,NA
Monday December 4,2018-12-03T13:00:00Z,interviewee,James Cahill
Friday December 1,2018-11-30T13:00:00Z,interviewee,NA
Thursday November 30,2018-11-29T13:00:00Z,interviewee,NA
Wednesday November 29,2018-11-28T13:00:00Z,interviewee,NA
Tuesday November 28,2018-11-27T13:00:00Z,interviewee,NA
Monday November 27,2018-11-26T13:00:00Z,interviewee,NA
Friday November 24,2018-11-23T13:00:00Z,interviewee,NA
Thursday November 23,2018-11-22T13:00:00Z,interviewee,NA
Wednesday November 22,2018-11-21T13:00:00Z,interviewee,Bruce Mutsvairo
Tuesday November 21,2018-11-20T13:00:00Z,interviewee,Dr Mick Creati
Monday November 20,2018-11-19T13:00:00Z,interviewee,NA
Friday November 17,2018-11-16T13:00:00Z,interviewee,NA
Thursday November 16,2018-11-15T13:00:00Z,interviewee,NA
Wednesday November 15,2018-11-14T13:00:00Z,interviewee,NA
Tuesday November 14,2018-11-13T13:00:00Z,interviewee,NA
Monday November 13,2018-11-12T13:00:00Z,interviewee,NA
Friday November 10,2018-11-09T13:00:00Z,interviewee,NA
Thursday November 9,2018-11-08T13:00:00Z,interviewee,John Safran
Wednesday November 8,2018-11-07T13:00:00Z,interviewee,NA
Tuesday November 7,2018-11-06T13:00:00Z,interviewee,NA
Monday November 6,2018-11-05T13:00:00Z,interviewee,Stuart Washington
Friday November 3,2018-11-02T13:00:00Z,interviewee,NA
Thursday November 2,2018-11-01T13:00:00Z,interviewee,Dr Thomas Adams
Wednesday November 1,2018-10-31T13:00:00Z,interviewee,NA
Tuesday October 31,2018-10-30T13:00:00Z,interviewee,NA
Monday October 30,2018-10-29T13:00:00Z,interviewee,Richard Denniss
Friday October 27,2018-10-26T13:00:00Z,interviewee,NA
Thursday October 26,2018-10-25T13:00:00Z,interviewee,NA
Wednesday October 25,2018-10-24T13:00:00Z,interviewee,NA
Tuesday October 24,2018-10-23T13:00:00Z,interviewee,NA
Monday October 23,2018-10-22T13:00:00Z,interviewee,NA
Friday October 20,2018-10-19T13:00:00Z,interviewee,NA
Thursday October 19,2018-10-18T13:00:00Z,interviewee,NA
Wednesday October 18,2018-10-17T13:00:00Z,interviewee,Dr Bates Gill
Tuesday October 17,2018-10-16T13:00:00Z,interviewee,NA
Monday October 16,2018-10-15T13:00:00Z,interviewee,NA
Friday October 13,2018-10-12T13:00:00Z,interviewee,NA
Thursday October 12,2018-10-11T13:00:00Z,interviewee,NA
Wednesday October 11,2018-10-10T13:00:00Z,interviewee,NA
Tuesday October 10,2018-10-09T13:00:00Z,interviewee,NA
Monday October 9,2018-10-08T13:00:00Z,interviewee,NA
Friday October 6,2018-10-05T14:00:00Z,interviewee,NA
Thursday October 5,2018-10-04T14:00:00Z,interviewee,NA
Wednesday October 4,2018-10-03T14:00:00Z,interviewee,NA
Tuesday October 3,2018-10-02T14:00:00Z,interviewee,Dan Ilic
Monday October 2,2018-10-01T14:00:00Z,interviewee,NA
Friday September 29,2018-09-28T14:00:00Z,interviewee,Andrea Boyd
Thursday September 28,2018-09-27T14:00:00Z,interviewee,Joseph Kay
Wednesday September 27,2018-09-26T14:00:00Z,interviewee,Dr Philip Roberts
Tuesday September 26,2018-09-25T14:00:00Z,interviewee,NA
Monday September 25,2018-09-24T14:00:00Z,interviewee,NA
Friday September 22,2018-09-21T14:00:00Z,interviewee,NA
Thursday September 21,2018-09-20T14:00:00Z,interviewee,NA
Wednesday September 20,2018-09-19T14:00:00Z,interviewee,Adrian Turner
Tuesday September 19,2018-09-18T14:00:00Z,interviewee,NA
Monday September 18,2018-09-17T14:00:00Z,interviewee,Dr Jennifer Buckingham
Friday September 15,2018-09-14T14:00:00Z,interviewee,Jenny Valentish
Thursday September 14,2018-09-13T14:00:00Z,interviewee,Carl Thayer
Wednesday September 13,2018-09-12T14:00:00Z,interviewee,Professor Des Cahill
Tuesday September 12,2018-09-11T14:00:00Z,interviewee,NA
Monday September 11,2018-09-10T14:00:00Z,interviewee,NA
Friday September 8,2018-09-07T14:00:00Z,interviewee,Michael Zavros
Thursday September 7,2018-09-06T14:00:00Z,interviewee,Helen Razer
Wednesday September 6,2018-09-05T14:00:00Z,interviewee,NA
Tuesday September 5,2018-09-04T14:00:00Z,interviewee,Tony Wood
Monday September 4,2018-09-03T14:00:00Z,interviewee,Michael Kirby
Friday September 1,2018-08-31T14:00:00Z,interviewee,NA
Thursday August 31,2018-08-30T14:00:00Z,interviewee,John Rawnsley
Wednesday August 30,2018-08-29T14:00:00Z,interviewee,NA
Tuesday August 29,2018-08-28T14:00:00Z,interviewee,NA
Monday August 28,2018-08-27T14:00:00Z,interviewee,NA
Friday August 25,2018-08-24T14:00:00Z,interviewee,NA
Thursday August 24,2018-08-23T14:00:00Z,interviewee,NA
Wednesday August 23,2018-08-22T14:00:00Z,interviewee,Anne Hollonds
Tuesday August 22,2018-08-21T14:00:00Z,interviewee,Hussain Nadim
Monday August 21,2018-08-20T14:00:00Z,interviewee,Terry Laidler
Friday August 18,2018-08-17T14:00:00Z,interviewee,NA
Thursday August 17,2018-08-16T14:00:00Z,interviewee,NA
Wednesday August 16,2018-08-15T14:00:00Z,interviewee,Clare Corbould
Tuesday August 15,2018-08-14T14:00:00Z,interviewee,NA
Monday August 14,2018-08-13T14:00:00Z,interviewee,Terry O'Gorman
Friday August 11,2018-08-10T14:00:00Z,interviewee,Andrew Davies
Thursday August 10,2018-08-09T14:00:00Z,interviewee,Sarah Moran
Wednesday August 9,2018-08-08T14:00:00Z,interviewee,Gordon Flake
Tuesday August 8,2018-08-07T14:00:00Z,interviewee,NA
Monday 7 August,NA,interviewee,NA
Friday August 4,2018-08-03T14:00:00Z,interviewee,NA
Thursday August 3,2018-08-02T14:00:00Z,interviewee,NA
